period,date,url
ene_2024,2024-01-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-portaciones-de-lineas-moviles-pospago-alcanzo-pico-historico-en-enero-de-2024/
feb_2024,2024-02-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-mas-de-480-mil-lineas-moviles-cambiaron-de-empresa-operadora-en-febrero/
mar_2024,2024-03-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/la-portabilidad-de-lineas-moviles-pospago-registro-un-nuevo-record-en-marzo-de-2024/
abr_2024,2024-04-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-mas-de-492-mil-lineas-moviles-cambiaron-de-empresa-operadora-en-abril/
may_2024,2024-05-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-portabilidad-movil-alcanzo-mas-de-526-mil-lineas-en-mayo-la-cifra-mas-alta-desde-noviembre-de-2019/
jun_2024,2024-06-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/portabilidad-movil-se-incremento-en-9-97-durante-el-primer-semestre-del-ano/
jul_2024,2024-07-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-mas-de-537-mil-lineas-moviles-cambiaron-de-empresa-operadora-en-julio/
ago_2024,2024-08-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/en-agosto-se-registro-la-cifra-historica-mas-alta-de-portaciones-de-lineas-moviles-pospago/
set_2024,2024-09-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/osiptel-mas-de-543-mil-lineas-moviles-cambiaron-de-empresa-operadora-en-setiembre/
oct_2024,2024-10-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/mas-de-571-mil-de-lineas-moviles-cambiaron-de-empresa-operadora-en-octubre-la-cifra-mas-alta-desde-agosto-de-2019/
nov_2024,2024-11-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/mas-de-573-mil-lineas-moviles-cambiaron-de-empresa-operadora-en-noviembre-de-2024/
dic_2024,2024-12-01,https://www.osiptel.gob.pe/portal-del-usuario/noticias/6-3-millones-de-lineas-moviles-cambiaron-de-empresa-operadora-en-2024/